fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Overnight Fund,101206,SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH,2810.2077261538466,73738.11168957333
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101232,Franklin India Short-Term Income Plan-Growth,3492.8117454545454,153079.08065082334
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101244,Franklin India Short-Term Income Plan-Institutional Plan - Growth,2869.6117886363636,113954.86818497827
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101304,DSP Short Term Fund - Regular Plan - Growth,28.982338636363636,12.02303294600723
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,101316,Aditya Birla Sun Life Savings Fund-Retail Growth,323.3347272727272,1751.6381810706198
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,101317,Aditya Birla Sun Life Savings Fund - Growth - Regular Plan,334.15383863636356,1870.4426770228254
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,101357,Franklin India Savings Fund - Growth Option,31.181125000000005,15.21355566642045
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101373,Kotak Bond Short Term Plan-(Growth),31.953231818181823,15.919863897169426
Baroda Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,101408,BARODA LIQUID FUND- Regular Growth Option,2862.1231862068967,100936.93201583636
Principal Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101465,Principal Short Term Debt Fund- Growth Plan,29.111074999999992,7.280851352329545
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101520,JM Short Term Fund - Regular Plan - Growth Option,31.910900000000005,8.03820627590909
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101521,JM Short Term Fund - Growth Option,23.375238636363633,4.406424206461775
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101548,Tata Short Term Bond Fund -Regular Plan- Growth Option,31.008836363636366,9.234433338677686
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,101588,Canara Robeco Income Fund - Regular Plan - Growth,35.590545454545456,19.655608350661154
HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101599,HSBC Short Duration Fund - Growth,27.164890909090914,5.358812116735537
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,101619,ICICI Prudential Savings Fund - Growth,325.8106181818182,1755.7902986451236
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101665,Nippon India Short Term Fund-Growth Plan,31.954965909090905,14.97993022951963
HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,101685,HSBC Debt Fund - Growth,27.819315909090903,9.26528239361054
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,101703,Tata Medium Term Fund Regular Plan - Growth,25.28537272727273,4.098051637438016
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101758,ICICI Prudential Short Term Fund - Growth Option,35.36408863636364,20.925500600098136
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Floater Fund,101802,ICICI Prudential Floating Interest Fund - Growth,254.37073863636363,966.4563943360074
JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,101806,JM Dynamic Debt Fund - Regular Plan - Growth Option,26.101290909090913,9.981056725826443
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,101830,LIC MF Savings Fund-Regular Plan-Growth,25.779229545454545,7.590218227990701
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,101837,DSP Credit Risk Fund - Regular Plan -Growth,26.62962954545454,4.8476999911725205
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,101844,Aditya Birla Sun Life Short Term Fund - Growth - Regular Plan,28.22569318181818,12.832900683817146
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,101847,Tata Money Market Fund-Regular Plan  -  Growth,3009.211334482758,75258.7598600726
