fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,120251,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,120.25431818181819,400.1672790805785
LIC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,120261,LIC MF Equity Hybrid Fund-Direct Plan-Growth,95.71807727272726,119.53499415448346
LIC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,120276,LIC MF Debt Hybrid Fund-Direct Plan-Growth,52.30052272727273,34.396863148119834
LIC Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,120285,LIC MF Children's Gift Fund-Direct Plan-Growth,16.777968181818185,2.3959596617148757
LIC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,120307,LIC MF Index Fund-Nifty Plan-Direct Plan-Growth,54.66429318181818,67.10200926154441
LIC Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,120308,LIC MF Index Fund-Sensex Plan-Direct Plan-Growth,60.889950000000006,91.66595689340909
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,120313,ICICI Prudential Income Optimizer Fund (FOF) - Direct Plan - Growth,31.9264590909091,12.591434991508265
Invesco Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,120333,Invesco India Dynamic Equity Fund - Direct Plan - Growth,27.368409090909086,17.39359974173554
ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,120334,ICICI Prudential Multi-Asset Fund - Direct Plan - Growth,238.0149613636364,1561.6801566082797
ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,120364,ICICI Prudential Equity Arbitrage Fund - Direct Plan - Growth,23.17752727272727,6.418278425619834
ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,120377,ICICI Prudential Balanced Advantage Fund - Direct Plan -  Growth,32.81636363636364,24.949873140495868
Invesco Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,120401,Invesco India Arbitrage Fund - Direct Plan - Growth Option,21.515193181818184,5.319422110180785
Axis Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,120473,Axis Gold Fund - Direct Plan - Growth option,11.011886363636362,4.811090372541322
Axis Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,120480,Axis Regular Saver Fund- Direct Plan - Growth Option,18.873963636363637,4.3498096318595065
