fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,100784,SUNDARAM BANKING AND PSU DEBT FUND REGULAR GROWTH,26.81179091,10.64059062
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100789,Sundaram Corporate Bond Fund Regular - Growth,23.93341136,10.04568327
Sundaram Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,100795,Sundaram Small Cap Fund-Regular Growth,78.99565227,209.160415
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100807,UTI Healthcare Fund - Regular Plan - Growth Option,89.90893864,77.65084608
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Overnight Fund,100814,UTI - Overnight  Fund - Regular Plan - Growth Option,1290.833316,1678566.126
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100821,UTI - Long Term Equity Fund (Tax Saving) - Regular Plan - Growth Option,76.27199091,101.7861866
UTI Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,100822,UTI - NIFTY Index Fund- Regular Plan - Growth Option,62.08202727,97.01902907
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100835,Kotak Liquid Regular Plan Growth,3430.853132,150058.7734
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100837,Nippon India Liquid Fund - Retail Option - Growth Plan,3839.543587,146642.0806
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100851,Nippon India Liquid Fund -Growth Plan,4124.60712,218839.7092
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100856,Nippon India Prime Debt Fund - Growth Plan - Growth Option,35.57570227,19.31600964
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100859,Nippon India Prime Debt Fund - Growth Plan - Bonus Option,25.40792273,9.85280928
LIC Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100865,LIC MF Tax Plan-Regular Plan-Growth,57.05651364,71.43588252
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100868,HDFC Liquid Fund-GROWTH,3007.862739,1291787.315
Principal Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100898,Principal Cash Management Fund -Growth Option,1587.729409,16308.55777
Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,100948,Franklin India Debt Hybrid Fund - Growth,50.87772955,25.58287481
Principal Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100966,Principal Multi Cap Growth Fund- Half Yearly Dividend Option,36.50113636,17.31389644
Principal Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100967,Principal Multi Cap Growth Fund-Growth Option,120.3409091,474.0599492
SBI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,100968,SBI DEBT HYBRID FUND - REGULAR PLAN - GROWTH,36.22998864,14.74146578
HDFC Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100998,HDFC  Long Term Advantage Fund - Growth Option,296.7704091,2704.790799
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,101001,SBI MAGNUM GILT FUND - REGULAR PLAN - GROWTH,37.82622045,31.84005082
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund with 10 year constant duration,101002,SBI MAGNUM CONSTANT MATURITY FUND - REGULAR PLAN - GROWTH,36.70656818,35.77119469
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,101042,Tata Gilt Securities Fund -Regular Plan- Growth,49.30441136,36.11516026
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Floater Fund,101048,Franklin India Floating Rate Fund - Growth Plan,25.36954717,6.888704282
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,101065,Quant Mid Cap Fund-Growth,50.76435,29.06517039
quant Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,101070,Quant Absolute Fund-Growth Option,120.0180841,252.3527527
quant Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,101072,Quant Multi Asset Fund-GROWTH OPTION,34.04459545,13.52376777
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,101083,HDFC Gilt Fund - Growth Plan,34.49083636,18.60232363
ICICI Prudential Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,101144,ICICI Prudential Multi-Asset Fund - Growth,228.4712591,1238.69897
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,101161,Nippon India Multi Cap Fund-Growth Plan-Growth Option,82.06378182,131.7674288
